確定日,陽性者数
"2020-01-23",2
"2020-01-24",0
"2020-01-25",0
"2020-01-26",0
"2020-01-27",0
"2020-01-28",0
"2020-01-29",0
"2020-01-30",1
"2020-01-31",0
"2020-02-01",0
"2020-02-02",0
"2020-02-03",0
"2020-02-04",0
"2020-02-05",0
"2020-02-06",0
"2020-02-07",0
"2020-02-08",0
"2020-02-09",0
"2020-02-10",0
"2020-02-11",0
"2020-02-12",1
"2020-02-13",1
"2020-02-14",2
"2020-02-15",7
"2020-02-16",5
"2020-02-17",1
"2020-02-18",3
"2020-02-19",4
"2020-02-20",0
"2020-02-21",4
"2020-02-22",0
"2020-02-23",0
"2020-02-24",3
"2020-02-25",0
"2020-02-26",4
"2020-02-27",0
"2020-02-28",0
"2020-02-29",1
"2020-03-01",1
"2020-03-02",0
"2020-03-03",2
"2020-03-04",4
"2020-03-05",4
"2020-03-06",7
"2020-03-07",6
"2020-03-08",1
"2020-03-09",0
"2020-03-10",4
"2020-03-11",4
"2020-03-12",4
"2020-03-13",6
"2020-03-14",5
"2020-03-15",3
"2020-03-16",4
"2020-03-17",10
"2020-03-18",10
"2020-03-19",9
"2020-03-20",8
"2020-03-21",7
"2020-03-22",4
"2020-03-23",19
"2020-03-24",29
"2020-03-25",47
"2020-03-26",35
"2020-03-27",54
"2020-03-28",62
"2020-03-29",55
"2020-03-30",52
"2020-03-31",63
"2020-04-01",109
"2020-04-02",88
"2020-04-03",155
"2020-04-04",134
"2020-04-05",85
"2020-04-06",85
"2020-04-07",132
"2020-04-08",198
"2020-04-09",266
"2020-04-10",190
"2020-04-11",235
"2020-04-12",147
"2020-04-13",188
"2020-04-14",129
"2020-04-15",190
"2020-04-16",226
"2020-04-17",196
"2020-04-18",157
"2020-04-19",91
"2020-04-20",113
"2020-04-21",113
"2020-04-22",130
"2020-04-23",115
"2020-04-24",116
"2020-04-25",107
"2020-04-26",61
"2020-04-27",69
"2020-04-28",99
"2020-04-29",66
"2020-04-30",101
"2020-05-01",56
"2020-05-02",77
"2020-05-03",60
"2020-05-04",39
"2020-05-05",32
"2020-05-06",23
"2020-05-07",25
"2020-05-08",22
"2020-05-09",34
"2020-05-10",28
"2020-05-11",11
"2020-05-12",11
"2020-05-13",20
"2020-05-14",12
"2020-05-15",10
"2020-05-16",8
"2020-05-17",3
"2020-05-18",7
"2020-05-19",2
"2020-05-20",11
"2020-05-21",4
"2020-05-22",8
"2020-05-23",6
"2020-05-24",7
"2020-05-25",8
"2020-05-26",12
"2020-05-27",16
"2020-05-28",21
"2020-05-29",19
"2020-05-30",7
"2020-05-31",15
"2020-06-01",20
"2020-06-02",10
"2020-06-03",33
"2020-06-04",20
"2020-06-05",25
"2020-06-06",24
"2020-06-07",10
"2020-06-08",10
"2020-06-09",25
"2020-06-10",22
"2020-06-11",43
"2020-06-12",42
"2020-06-13",45
"2020-06-14",21
"2020-06-15",14
"2020-06-16",28
"2020-06-17",26
"2020-06-18",61
"2020-06-19",32
"2020-06-20",30
"2020-06-21",18
"2020-06-22",32
"2020-06-23",51
"2020-06-24",54
"2020-06-25",53
"2020-06-26",68
"2020-06-27",53
"2020-06-28",64
"2020-06-29",49
"2020-06-30",70
"2020-07-01",103
"2020-07-02",127
"2020-07-03",138
"2020-07-04",131
"2020-07-05",98
"2020-07-06",82
"2020-07-07",98
"2020-07-08",258
"2020-07-09",231
"2020-07-10",221
"2020-07-11",201
"2020-07-12",104
"2020-07-13",155
"2020-07-14",173
"2020-07-15",298
"2020-07-16",305
"2020-07-17",299
"2020-07-18",238
"2020-07-19",139
"2020-07-20",217
"2020-07-21",246
"2020-07-22",397
"2020-07-23",290
"2020-07-24",251
"2020-07-25",192
"2020-07-26",109
"2020-07-27",241
"2020-07-28",274
"2020-07-29",458
"2020-07-30",404
"2020-07-31",475
"2020-08-01",362
"2020-08-02",219
"2020-08-03",264
"2020-08-04",315
"2020-08-05",414
"2020-08-06",420
"2020-08-07",367
"2020-08-08",237
